,Planet Name,Noise Estimate 3.9-4.03um,Full Phase Curve Noise Estimate 3.9-4.03um,Noise Estimate 4.03-4.16um,Full Phase Curve Noise Estimate 4.03-4.16um,Noise Estimate 4.16-4.29um,Full Phase Curve Noise Estimate 4.16-4.29um,Noise Estimate 4.29-4.42um,Full Phase Curve Noise Estimate 4.29-4.42um,Noise Estimate 4.42-4.55um,Full Phase Curve Noise Estimate 4.42-4.55um,Noise Estimate 4.55-4.68um,Full Phase Curve Noise Estimate 4.55-4.68um,Noise Estimate 4.68-4.81um,Full Phase Curve Noise Estimate 4.68-4.81um,Noise Estimate 4.81-4.94um,Full Phase Curve Noise Estimate 4.81-4.94um,Noise Estimate 4.94-5.07um,Full Phase Curve Noise Estimate 4.94-5.07um,Noise Estimate 5.07-5.2um,Full Phase Curve Noise Estimate 5.07-5.2um,Noise Estimate 5.2-5.33um,Full Phase Curve Noise Estimate 5.2-5.33um,Noise Estimate 5.33-5.46um,Full Phase Curve Noise Estimate 5.33-5.46um,Noise Estimate 5.46-5.59um,Full Phase Curve Noise Estimate 5.46-5.59um,Noise Estimate 5.59-5.72um,Full Phase Curve Noise Estimate 5.59-5.72um,Noise Estimate 5.72-5.85um,Full Phase Curve Noise Estimate 5.72-5.85um,Noise Estimate 5.85-5.98um,Full Phase Curve Noise Estimate 5.85-5.98um,Noise Estimate 5.98-6.11um,Full Phase Curve Noise Estimate 5.98-6.11um,Noise Estimate 6.11-6.24um,Full Phase Curve Noise Estimate 6.11-6.24um,Noise Estimate 6.24-6.37um,Full Phase Curve Noise Estimate 6.24-6.37um,Noise Estimate 6.37-6.5um,Full Phase Curve Noise Estimate 6.37-6.5um,Noise Estimate 6.5-6.63um,Full Phase Curve Noise Estimate 6.5-6.63um,Noise Estimate 6.63-6.76um,Full Phase Curve Noise Estimate 6.63-6.76um,Noise Estimate 6.76-6.89um,Full Phase Curve Noise Estimate 6.76-6.89um,Noise Estimate 6.89-7.02um,Full Phase Curve Noise Estimate 6.89-7.02um,Noise Estimate 7.02-7.15um,Full Phase Curve Noise Estimate 7.02-7.15um,Noise Estimate 7.15-7.28um,Full Phase Curve Noise Estimate 7.15-7.28um,Noise Estimate 7.28-7.41um,Full Phase Curve Noise Estimate 7.28-7.41um,Noise Estimate 7.41-7.54um,Full Phase Curve Noise Estimate 7.41-7.54um,Noise Estimate 7.54-7.67um,Full Phase Curve Noise Estimate 7.54-7.67um,Noise Estimate 7.67-7.8um,Full Phase Curve Noise Estimate 7.67-7.8um
0,TOI-5704b,0.00011545652891256271,3.6096787529414404e-05,0.00012032725330023613,3.7619590137392804e-05,0.00012527131883756533,3.9165322413543483e-05,0.00013028744631904068,4.0733584421977817e-05,0.00013537443371914766,4.2324000356667234e-05,0.0001405311479229356,4.3936215956055414e-05,0.00014575651768683747,4.556989630230104e-05,0.00015104952760448058,4.722472393472484e-05,0.00015640921289993806,4.890039722195117e-05,0.00016183465490728457,5.059662894861826e-05,0.00016732497712337058,5.2313145081302006e-05,0.00017287934174249874,5.40496836851033e-05,0.00017849694659879256,5.580599396769816e-05,0.0001841770224554729,5.758183543184629e-05,0.0001899188305909752,5.937697712070523e-05,0.00019572166064042257,6.119119694297994e-05,0.00020158482865784404,6.302428106708695e-05,0.00020750767537011392,6.487602337525912e-05,0.0002134895645982056,6.674622496996013e-05,0.00021952988182501103,6.863469372612186e-05,0.00022562803289211415,7.054124388369845e-05,0.00023178344281046364,7.246569567583037e-05,0.00023799555467198444,7.440787498856624e-05,0.0002442638286509698,7.636761304865418e-05,0.00025058774108561137,7.834474613638759e-05,0.0002569667836312536,8.033911532087541e-05,0.00026340046247803266,8.235056621544151e-05,0.00026988829762654274,8.437894875116622e-05,0.00027642982221582604,8.642411696678634e-05,0.00028302458189878767,8.848592881342251e-05
1,TOI-672b,0.00014072718600449308,4.473979459158889e-05,0.00014640572669764166,4.654510848583058e-05,0.0001521710729235644,4.837801947638318e-05,0.00015802151364430157,5.0237983592397634e-05,0.0001639554590929763,5.212449541736175e-05,0.00016997142603661808,5.403708340387723e-05,0.00017606802542061986,5.59753059456023e-05,0.00018224395193461648,5.793874806005015e-05,0.00018849797514070902,5.9927018568086e-05,0.0001948289318814943,6.193974768029838e-05,0.00020123571974382153,6.397658491900543e-05,0.00020771729139919089,6.603719731896225e-05,0.00021427264967672252,6.812126786096593e-05,0.0002209008432519207,7.022849410123331e-05,0.00022760096285602782,7.2358586966284e-05,0.00023437213792787957,7.451126968850272e-05,0.000241213533643796,7.668627686188645e-05,0.0002481243482720086,7.888335360096732e-05,0.00025510381080705595,8.110225478874307e-05,0.0002621511788466967,8.334274440170803e-05,0.00026926573667984037,8.560459490197075e-05,0.0002764467935588407,8.788758668798383e-05,0.0002836936821334526,9.019150759666964e-05,0.00029100575702709075,9.251615245078647e-05,0.00029838239353881523,9.486132264626546e-05,0.00030582298645673994,9.722682577497121e-05,0.00031332694897050293,9.96124752789556e-05,0.0003208937116721624,0.00010201809013282423,0.00032852272163612356,0.00010444349455122787,0.0003362134415700426,0.00010688851771891908
2,TOI-199b,0.00011094409815358246,6.91174844044911e-06,0.00011573834401712384,7.2104269814616295e-06,0.00012060457797522085,7.513590336074481e-06,0.00012554161009100962,7.821164371959764e-06,0.0001305483161467068,8.13307905104749e-06,0.00013562363117788814,8.449268026715168e-06,0.00014076654390948038,8.769668297153535e-06,0.00014597609193564516,9.094219905076326e-06,0.00015125135751812926,9.4228656759601e-06,0.00015659146390254374,9.755550988550723e-06,0.0001619955720713484,1.00922235725763e-05,0.00016746287786739998,1.0432833329546033e-05,0.00017299260943388027,1.0777332173259319e-05,0.00017858402492584445,1.1125673887236635e-05,0.00018423641045622587,1.147781399675691e-05,0.00018994907824525697,1.1833709653567606e-05,0.0001957213649471954,1.2193319531640781e-05,0.00020155263013228516,1.2556603732600217e-05,0.00020744225490525907,1.2923523699654978e-05,0.00021338964064435189,1.3294042139040723e-05,0.00021939420784712545,1.3668122948115305e-05,0.00022545539507130605,1.4045731149373621e-05,0.0002315726579604001,1.4426832829744058e-05,0.00023774546834521226,1.4811395084613636e-05,0.00024397331341354854,1.5199385966101025e-05,0.00025025569494131956,1.559077443515476e-05,0.0002565921285790814,1.598553031710516e-05,0.0002629821431888301,1.6383624260347078e-05,0.00026942528022635124,1.678502769786061e-05,0.00027592109316507916,1.718971281131792e-05
3,WASP-176b,0.00019195071775520472,7.227495866405876e-05,0.00020039912608096474,7.545602706360548e-05,0.0002089744580074146,7.868488584445754e-05,0.00021767468441518032,8.19607709848879e-05,0.00022649788138071324,8.528295807241937e-05,0.00023544222053351304,8.865075867304203e-05,0.00024450596067902397,9.206351717699303e-05,0.0002536874404756317,9.552060804143562e-05,0.00026298507199618633,9.902143336618757e-05,0.0002723973350369819,0.00010256542075088856,0.00028192277206252474,0.00010615202139156025,0.0002915599836944019,0.00010978070838203552,0.00030130762466853175,0.00011345097519174752,0.0003111644001977416,0.00011716233429613529,0.00032112906268690067,0.00012091431593979726,0.0003312004087562023,0.00012470646701567137,0.00034137727653494606,0.0001285383500460663,0.0003516585431937644,0.000132409542253474,0.00036204312268795646,0.00013631963471086994,0.00037252996368830523,0.00014026823156260642,0.00038311804767906236,0.00014425494930824927,0.0003938063872054878,0.00014827941614272599,0.00040459402425555886,0.00015234127134699295,0.0004154800287624322,0.00015644016472416916,0.00042646349721591983,0.0001605757560767172,0.0004375435513725956,0.0001647477147207612,0.0004487193370553552,0.00016895571903408665,0.0004599900230344202,0.0001731994560348066,0.00047135479998246347,0.00017747862098793586,0.0004828128794975477,0.00018179291703749963
4,TOI-1801b,6.210636607131338e-05,1.1940655143480315e-05,6.462880423686462e-05,1.2425622565676868e-05,6.718968707671963e-05,1.2917981413696626e-05,6.97882713022262e-05,1.3417588781843608e-05,7.242386513096801e-05,1.3924311667081406e-05,7.509582212574449e-05,1.4438025784507008e-05,7.78035360195687e-05,1.495861457239777e-05,8.054643633732829e-05,1.5485968350425976e-05,8.332398466619041e-05,1.6019983602601742e-05,8.613567145821932e-05,1.6560562362539895e-05,8.898101327267588e-05,1.710761168326071e-05,9.18595503839587e-05,1.7661043177289376e-05,9.477084469554997e-05,1.822077261558836e-05,9.771447791156946e-05,1.8786719576017874e-05,0.00010069004992643083,1.9358807133728997e-05,0.000103697177400159,1.9936961587252214e-05,0.0001067354924925523,2.0521112215125727e-05,0.00010980464173390792,2.1111191058779554e-05,0.00011290428501372764,2.170713272810271e-05,0.00011603409467176676,2.230887422668704e-05,0.00011919375467825918,2.291635479421616e-05,0.00012238295989216338,2.3529515763854806e-05,0.00012560141538791653,2.4148300432809676e-05,0.00012884883584257396,2.4772653944499984e-05,0.00013212494497637144,2.5402523180999244e-05,0.00013542947504069461,2.6037856664591537e-05,0.00013876216634824918,2.6678604467441407e-05,0.00014212276684095077,2.7324718128515747e-05,0.0001455110316915656,2.7976150576994732e-05,0.00014892672293570136,2.8632856061517822e-05
5,TOI-836c,4.6352326274062e-05,8.658265155553366e-06,4.830459665274337e-05,9.022934546556828e-06,5.028627309267869e-05,9.393096768146864e-06,5.229684064233254e-05,9.768655631258238e-06,5.4335815608227956e-05,1.0149520785595416e-05,5.640274218780664e-05,1.0535607090676238e-05,5.849718960512886e-05,1.092683408080224e-05,6.0618749657107036e-05,1.1323125506713602e-05,6.276703459755235e-05,1.1724408940344984e-05,6.494167530125438e-05,1.2130615431889453e-05,6.714231966182021e-05,1.254167921052691e-05,6.936863118592504e-05,1.295753742184068e-05,7.16202877536367e-05,1.3378129896255501e-05,7.389698051997725e-05,1.3803398943857485e-05,7.619841293727337e-05,1.4233289171776564e-05,7.852429988136067e-05,1.4667747320968021e-05,8.087436686751941e-05,1.5106722119755211e-05,8.324834934430494e-05,1.5550164151922393e-05,8.564599205532295e-05,1.5998025737499176e-05,8.806704846049553e-05,1.645026082465736e-05,9.051128020964512e-05,1.6906824891380405e-05,9.297845666226734e-05,1.7367674855760604e-05,9.54683544482196e-05,1.7832768993939024e-05,9.798075706478611e-05,1.830206686484031e-05,0.00010051545450619961,1.8775529240970102e-05,0.00010307224292220055,1.925311804463649e-05,0.00010565092430265174,1.97347962890384e-05,0.00010825130618562747,2.0220528023738844e-05,0.00011087320138666184,2.0710278284090538e-05,0.00011351642774716885,2.120401304424268e-05
6,TOI-3807b,0.0003243622443985789,8.659952979972243e-05,0.0003385807691923924,9.039564843823107e-05,0.0003530128365155009,9.424877951560567e-05,0.00036765500932104946,9.815800539532505e-05,0.00038250403116540753,0.00010212245665903954,0.00039755680938860196,0.00010614130761601561,0.00041281040053405373,0.0001102137724104389,0.00042826199762909645,0.00011433910162551606,0.0004439089190235174,0.00011851657930354388,0.00045974859854189335,0.0001227455203167405,0.00047577857675115687,0.00012702526803582524,0.0004919964931806776,0.00013135519225290478,0.000508400079360746,0.00013573468732285988,0.0005249871525679891,0.0001401631704934712,0.0005417556101846036,0.00014464008039942494,0.0005587034245931873,0.00014916487569931452,0.0005758286385409837,0.0001537370338379678,0.000593129360917268,0.00015835604991907719,0.000610603762895982,0.0001630214356753443,0.0006282500744022855,0.00016773271852510625,0.0006460665808675449,0.00017248944070596907,0.0006640516202420398,0.0001772911584772486,0.0006822035802386008,0.00018213744138406536,0.0007005208957838415,0.00018702787157686473,0.0007190020466566068,0.0001919620431809203,0.0007376455552956257,0.00019693956171101213,0.0007564499847604758,0.00020196004352703695,0.0007754139368320022,0.00020702311532685047,0.0007945360502395396,0.00021212841367296392,0.0008138149990040483,0.00021727558455018794
7,TOI-4087b,0.00022970126979391108,7.445383751563395e-05,0.00023983854207869536,7.773966533983467e-05,0.00025012815227972465,8.107487096013443e-05,0.00026056767543117883,8.445866836428649e-05,0.00027115481118709776,8.789031193349432e-05,0.0002818873725183232,9.136909277871373e-05,0.0002927632758786899,9.489433555318768e-05,0.0003037805325967587,9.84653956622201e-05,0.00031493724129748356,0.00010208165680678537,0.00032623158119546894,0.00010574252880964983,0.0003376618061306463,0.00010944744568213548,0.0003492262392401525,0.00011319586389709832,0.00036092326817858776,0.0001169872608396546,0.0003727513408134107,0.00012082113341191484,0.00038470896133410286,0.00012469699677183444,0.0003967946867233926,0.0001286143831894197,0.00040900712354664754,0.00013257284100606285,0.00042134492502201687,0.00013657193368487767,0.00043380678833938283,0.00014061123894168213,0.0004463914522004814,0.00014469034794766962,0.00045909769455640165,0.00014880886459605702,0.0004719243305218175,0.0001529664048260178,0.00048487021044789683,0.00015716259599804746,0.0004979342181381273,0.00016139707631565342,0.0005111152691932608,0.00016566949428889618,0.0005244123094731572,0.00016997950823582163,0.0005378243136647156,0.00017432678581827998,0.000551350283946461,0.0001787110036090737,0.0005649892487411386,0.0001831318466876316,0.0005787402615488762,0.00018758900826179822
8,TOI-2818b,0.0001977760168129481,6.418151402435822e-05,0.0002064345218538934,6.69913388538318e-05,0.0002152230557430146,6.984336014613873e-05,0.0002241395209983006,7.27368972344657e-05,0.00023318193082850718,7.567130537294228e-05,0.00024234839877305874,7.864597237462169e-05,0.0002516371297273293,8.166031569903924e-05,0.00026104641211832636,8.47137799130955e-05,0.00027057461104295635,8.780583446431234e-05,0.0002802201622174468,9.093597171732277e-05,0.0002899815666148974,9.410370521366946e-05,0.0002998573856901968,9.730856812221328e-05,0.0003098462371093093,0.00010055011185321752,0.00031994679091398376,0.00010382790481373413,0.0003301577660643284,0.00010714153128561337,0.00034047792731092634,0.00011049059041045464,0.0003509060823556217,0.00011387469526823575,0.00036144107926625567,0.00011729347203835298,0.0003720818041158027,0.00012074655923348268,0.00038282717882043364,0.00012423360699799756,0.000393676159154636,0.0001277542764638416,0.00040462773292447704,0.00013130823915772383,0.00041568091828251354,0.00013489517645427982,0.0004268347621699921,0.00013851477907054024,0.000438088338873803,0.000142166746597639,0.0004494407486871128,0.00014585078706616717,0.0004608911166639109,0.00014956661654200287,0.00047243859145895337,0.00015331395874985452,0.0004840823442453363,0.00015709254472199587,0.0004958215677030135,0.00016090211247002357
9,TOI-3235b,0.00036119942751330317,9.321732277349441e-05,0.00037535204344708926,9.686978971307851e-05,0.00038972462641517785,0.00010057902512036828,0.00040431242625931624,0.00010434380308800805,0.0004191110631996679,0.00010816299329485218,0.0004341164799635051,0.00011203554865147413,0.000449324901939091,0.00011596049501679326,0.00046473280376751363,0.00011993692257619045,0.000480336881139761,0.00012396397856297714,0.0004961340268335542,0.00012804086107404922,0.0005121213102277479,0.00013216681378302187,0.0005282959596879989,0.0001363411213943727,0.000544655347338138,0.00014056310571328076,0.0005611969758255509,0.00014483212223007357,0.0005779184667626859,0.00014914755713724424,0.0005948175505851571,0.00015350882471205958,0.0006118920576132136,0.00015791536500972943,0.0006291399101404396,0.00016236664182168073,0.0006465591154036131,0.00016686214086123884,0.0006641477593115989,0.00017140136814519787,0.0006819040008310172,0.00017598384854489003,0.0006998260669425515,0.0001806091244845239,0.0007179122480949149,0.00018527675476795685,0.0007361608940945092,0.0001899863135179102,0.0007545704103779595,0.00019473738921399526,0.0007731392546221848,0.00019952958381785004,0.0007918659336530044,0.00020436251197532133,0.0008107490006188387,0.0002092358002870611,0.0008297870524001747,0.0002141490866399691,0.0008489787272296941,0.00021910201959300204
