,planet_ID,Dayside Emitting Temperature [K],log_H2O,log_CO2,log_CH4,log_CO,log_NH3,planet_ID,T_q1,T_q2,T_q3,log_H2O_q1,log_H2O_q2,log_H2O_q3,log_CO2_q1,log_CO2_q2,log_CO2_q3,log_CH4_q1,log_CH4_q2,log_CH4_q3,log_CO_q1,log_CO_q2,log_CO_q3,log_NH3_q1,log_NH3_q2,log_NH3_q3,planet_ID,Star Distance [pc],star_mass_kg,Star Radius [Rs],Star Temperature [K],Planet Mass [Mjup],planet_orbital_period,Planet Semi-major Axis [au],Planet Radius [Rjup],planet_surface_gravity,Transit Duration [hrs],Eclipse Duration [hrs],Mean Molecular Weight,Planet Albedo,Planet Geometric Albedo,Heat Redistribution Factor,log CO precision,log CO2 precision,log H2O precision,log CH4 precision,log NH3 precision,T precision,log CO accuracy,log CO2 accuracy,log H2O accuracy,log CH4 accuracy,log NH3 accuracy,T accuracy
0,3,1370.9061163260496,-7.639372034576612,-5.877303148436476,-4.476839918227466,-5.200010469222246,-6.240725736962148,3,1357.9646118593116,1382.8134993711592,1409.8924552091548,-10.88275874095164,-8.827417268231287,-6.804878805445653,-6.073258271247472,-5.891994962247149,-5.733862349569441,-4.529318412216185,-4.478271667560668,-4.430260240510334,-10.65985848483139,-7.749673215116948,-5.096799526439565,-10.860119340569726,-7.922047292539481,-6.382086003286326,3.0,1010.28,2.087830364232953e+30,1.08,5900.0,10.3,3.57532,0.0465134921001251,1.0069999999999997,251.76411653118967,3.2331325781558378,3.2331325781558378,2.3,0.2,0.25,0.8,2.781529479195913,0.16969796083901523,2.038939967752994,0.04952908585292537,2.2390166686417,25.963921674921608,0.9166405623109775,0.08657625429341806,0.5826778877476985,0.028907243260138153,0.7509196242818983,0.4586126546749994
1,8,1894.4262373448169,-4.5634668386821575,-4.446741049137354,-5.544289215098675,-4.3653871177271295,-8.544595254692677,8,1861.275569498384,1898.2838580605007,1934.6648676430952,-4.652987202277855,-4.573761359281347,-4.498293459794474,-4.596985226450039,-4.459269547934109,-4.307724222327578,-5.702626208530854,-5.547122905599492,-5.410286165551772,-10.429802830325896,-7.196864848262753,-4.383015256594466,-10.990657345215295,-9.032424314462506,-6.853701490015348,8.0,749.892,2.1449971480155223e+30,1.41,6046.0,1.567648921,2.1460405,0.0333938578445288,1.5192460769999998,16.834805691980876,3.5964919290409063,3.5964919290409063,2.3,0.2,0.25,0.8,3.023393786865715,0.14463050206123063,0.0773468712416907,0.14617002148954095,2.0684779275999734,36.69464907235567,0.93652297058894,0.08662418105587857,0.1330955012649654,0.019386263147125816,0.2358396254853205,0.10512760888044739
2,9,1398.904600224943,-3.1978608913667603,-5.635948161486219,-7.9619799557539315,-3.112748652623467,-7.210507378595833,9,1366.710997346967,1395.9271373886463,1425.9572901848603,-3.3350903774421017,-3.214233264924709,-3.089021791076969,-5.913539673984388,-5.590907453038256,-5.288274250246418,-11.083816433293322,-9.505983818717755,-7.40155512687405,-9.84523667535643,-5.557648934093248,-3.362652559460867,-10.81670260030298,-8.867759584861794,-6.747905918587239,9.0,268.254,1.9911936445170284e+30,1.73,5805.6,0.8251581800000001,6.65642,0.0692836441220817,1.336116134,11.456826603085675,6.379838686367085,6.379838686367085,2.3,0.2,0.25,0.8,3.2412920579477813,0.31263271186898534,0.12303429318256631,1.8411306532096359,2.0343983408578703,29.623146418946703,0.7542980508266093,0.14406908406577068,0.13307162689717925,0.8386172161503954,0.8146153941352149,0.100511363451663
3,17,1300.997518628675,-7.775057327785314,-7.049118910432415,-4.199703444099594,-4.026407279052652,-8.030805298151346,17,1279.438143537628,1300.5038344668503,1320.7973649869616,-10.988453469233924,-9.153510639462793,-7.172894365143463,-7.403676335284496,-6.9951886475242935,-6.718143848124079,-4.256449469331367,-4.196278639021381,-4.130297176091631,-8.591329568004362,-4.789455115591581,-3.768002873113873,-11.072619322268997,-9.37422051308708,-7.475446957765006,17.0,366.962,2.2442933659335063e+30,1.72,6125.9,0.3517228969999999,9.07788,0.0886710624484844,1.157170336,6.5106088619634015,6.689102065528205,6.689102065528205,2.3,0.2,0.25,0.8,2.4116633474452445,0.3427662435802086,1.9077795520452305,0.06307614661986793,1.7985861822519955,20.67961072466676,0.31639898551646983,0.1573383141374055,0.7225432887147318,0.05429635863542272,0.7469284642527687,0.023872991053730724
4,18,1854.00991459382,-3.5463815345812657,-7.673769566720271,-4.7689943591112325,-3.2149354945433304,-4.559482890635666,18,1829.6713418519769,1852.8533896675792,1878.9242669628911,-3.621732536074904,-3.5543989181052957,-3.4902946982320686,-11.031742057204344,-9.028980635867674,-7.372491557175726,-4.974208195320256,-4.793259207174418,-4.649334935979045,-5.900002131010046,-3.7127019533279375,-3.1651025311573964,-4.695429020797883,-4.572303836502962,-4.458084205639646,18.0,598.582,1.6881997484200593e+30,0.97,5427.0,0.328111938,1.0649771,0.0193256392585807,1.1133394109999997,6.561186968244671,2.142740331854605,2.142740331854605,2.3,0.2,0.25,0.8,1.3674497999263249,1.8296252500143089,0.06571891892141779,0.16243662967060546,0.11867240757911857,24.626462555457124,0.36401077305464935,0.7407041792502614,0.12199506102065787,0.14938039598821157,0.10803645201811893,0.04696268997775655
5,21,1330.5463416722946,-4.418340581254672,-8.844871140378386,-5.35894352883325,-4.825541570443461,-5.8161415904483045,21,1310.4021617910723,1338.4156136435834,1365.8982183689752,-4.502528555981194,-4.400443991022047,-4.297218476690215,-11.208717339886864,-9.632549560693722,-8.343233928309163,-5.475302439116191,-5.354085102133804,-5.238780724003783,-10.23833042696401,-6.750195303782509,-4.7421003839977045,-9.501290196330018,-6.054892635831588,-5.725278865872821,21.0,561.854,2.730335303702261e+30,1.6,6595.0,2.888629183,8.61346,0.0914020986730528,1.845056254,21.03236538993284,5.985636054650492,5.985636054650492,2.3,0.2,0.25,0.8,2.748115021483153,1.4327417057888505,0.1026550396454895,0.11826085755620364,1.8880056652285986,27.748028288951446,0.7003541403082597,0.5497700088807351,0.17433718105247703,0.04108228876267918,0.12645674204286653,0.2835975186900792
6,23,1035.0974222247726,-8.172876778005211,-5.711750399419192,-8.820909490551346,-3.7331271450866503,-5.254427108650171,23,1019.0184497360358,1036.071214709023,1053.347864247609,-11.108537317979644,-9.337997222204562,-7.609326586370097,-5.894405152961784,-5.69936300648703,-5.512668080848818,-11.272777381887002,-9.609488538021196,-8.061538585302793,-4.583225052072295,-3.856621064464699,-3.3402740127567303,-5.330060764856484,-5.256100865098248,-5.186666272696736,23.0,759.341,1.8929661969045443e+30,1.85,5740.0,0.332139629,18.010652,0.1322816656507397,1.1210118299999998,6.551124487848952,9.501009517411235,9.501009517411235,2.3,0.2,0.25,0.8,0.6214755196577821,0.1908685360564828,1.7496053658047739,1.605619398292104,0.07169724607987416,17.164707255786652,0.19871083489507527,0.06490013067683457,0.6659332824253344,0.49113697075948476,0.02334478016369325,0.05673225122567487
7,26,2500.299713533199,-4.73907732419438,-6.047557643589089,-5.861048416122797,-3.3454494337979184,-4.963588531026817,26,2449.927697327827,2535.623026328035,2627.4441166312045,-4.935134581900324,-4.781135381851651,-4.619371324197699,-6.323016394280732,-6.060635962679914,-5.799899235568648,-10.81510636678784,-8.393036690212236,-6.223295410904917,-7.629236896373442,-3.973006946586114,-3.1257920221876936,-5.14804403383901,-4.97224377567858,-4.819077508160172,26.0,87.4715,1.7904079925936803e+30,1.44,5624.7,4.208741332,0.8490649,0.0169450819329074,2.170652317,22.14049111452449,3.064394617822,3.064394617822,2.3,0.2,0.25,0.8,2.251722437092874,0.26155857935604176,0.15788162885131252,2.2959054779414614,0.16448326283941928,88.75820965168873,0.2787010967472594,0.05000149153212214,0.26638981345245505,1.1028277507136979,0.05262082294788144,0.3979723445690749
8,38,2573.3307849215435,-4.151037196983298,-7.554845869125399,-5.905047136741491,-5.029654907662596,-4.052176790144289,38,2490.2195758918647,2557.317967818083,2630.0421311952955,-4.27224912301465,-4.12681346283186,-3.982165315366589,-10.95775737367366,-9.128306945861342,-7.41786685080458,-10.742171136277854,-8.730088452694092,-6.242270303896105,-10.578205643531696,-7.231452529345221,-4.77530927733034,-4.168574048967448,-4.030611615792869,-3.893773575794502,38.0,225.888,3.559253668549512e+30,1.95,7300.0,2.3000000000000003,1.902603,0.0364884736023184,1.875,16.215891852840684,4.012048337465326,4.012048337465326,2.3,0.2,0.25,0.8,2.901448183100678,1.7699452614345401,0.1450419038240307,2.2499504161908743,0.13740023658647327,69.91127765171541,0.7588616038386872,0.8889885529344863,0.16701197042219265,1.2556015882053728,0.156951508142769,0.22904483570208914
9,40,2023.104444323991,-3.576755362617569,-4.432724324105655,-8.473992760335015,-4.851233080723919,-7.807570355471878,40,1989.622185492328,2022.2875676893896,2057.41420628672,-3.6530753969039615,-3.5775428042958417,-3.498439654099115,-4.59173256268694,-4.427782450243068,-4.252040240522016,-11.0463052070377,-9.014494105768758,-6.71556178848265,-10.782645834004969,-7.870728072914055,-4.678755132731981,-11.110165888536509,-8.827174185572028,-6.648419766236231,40.0,749.29,2.073911495138067e+30,1.41,5972.0,0.8063490420000001,1.726988,0.0285685828815743,1.3314769969999998,11.27382492010494,3.3513848259423717,3.3513848259423717,2.3,0.2,0.25,0.8,3.051945350636494,0.1698461610824622,0.07731787140242319,2.1653717092775246,2.2308730611501386,33.89601039719594,0.9893673199490318,0.02909617639333657,0.010184471765577015,0.24961134530296458,0.45704251302155585,0.024099492094472624
